k141_416796	29281	species	uncultured crenarchaeote	3	3	2	0.670	unknown;Crenarchaeota;unknown	-_cellular organisms;d_Archaea;-_TACK group;p_Crenarchaeota;-_environmental samples;s_uncultured crenarchaeote
k141_1119809	651137	phylum	Thaumarchaeota	3	1	1	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2912011	651137	phylum	Thaumarchaeota	3	3	2	0.510	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_243618	651137	phylum	Thaumarchaeota	3	3	2	0.950	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_243680	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_3020539	651137	phylum	Thaumarchaeota	1	1	1	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2829433	651137	phylum	Thaumarchaeota	4	4	2	0.650	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2830137	651137	phylum	Thaumarchaeota	6	4	4	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2633979	1033997	family	Nitrososphaeraceae	4	4	3	0.960	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae
k141_44440	651137	phylum	Thaumarchaeota	4	3	2	0.970	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_3021585	651137	phylum	Thaumarchaeota	6	6	4	0.670	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_3022049	651137	phylum	Thaumarchaeota	2	2	2	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1435883	651137	phylum	Thaumarchaeota	3	3	2	0.670	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_986651	2169593	species	Nitrososphaeraceae archaeon	6	5	3	0.660	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_3137578	651137	phylum	Thaumarchaeota	3	3	3	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_3138982	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
k141_989283	2169593	species	Nitrososphaeraceae archaeon	5	5	3	0.510	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_3140375	651137	phylum	Thaumarchaeota	3	3	3	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_3144442	651137	phylum	Thaumarchaeota	4	4	4	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_3144808	651137	phylum	Thaumarchaeota	12	12	7	0.580	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_3146362	651137	phylum	Thaumarchaeota	3	3	2	0.670	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_3148086	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_3149270	2169593	species	Nitrososphaeraceae archaeon	8	8	5	0.580	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_1888285	651137	phylum	Thaumarchaeota	4	3	2	0.520	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1284073	651137	phylum	Thaumarchaeota	5	4	2	0.500	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_296376	651137	phylum	Thaumarchaeota	4	4	2	0.500	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_692755	651137	phylum	Thaumarchaeota	3	3	3	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2684143	2157	superkingdom	Archaea	2	2	1	0.910	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_2876358	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_693177	1783272	clade	Terrabacteria group	2	2	1	0.500	unknown;unknown;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group
k141_2489298	651137	phylum	Thaumarchaeota	12	11	9	0.820	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2088482	651137	phylum	Thaumarchaeota	3	3	2	0.670	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1479252	651137	phylum	Thaumarchaeota	3	3	2	0.670	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2847617	651137	phylum	Thaumarchaeota	13	12	7	0.570	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2654221	2169593	species	Nitrososphaeraceae archaeon	5	5	3	0.660	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_663882	2169593	species	Nitrososphaeraceae archaeon	5	4	3	0.750	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_1659294	0	no rank	unclassified	1	0	0	0.000		
k141_1859372	651137	phylum	Thaumarchaeota	4	4	4	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2256882	2157	superkingdom	Archaea	7	6	5	0.800	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_466888	2026795	species	Thaumarchaeota archaeon	2	2	1	0.500	unknown;Thaumarchaeota;unknown	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;-_unclassified Thaumarchaeota;s_Thaumarchaeota archaeon
k141_2848334	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_1453389	2169593	species	Nitrososphaeraceae archaeon	4	4	2	0.500	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_2848543	2157	superkingdom	Archaea	4	4	4	1.000	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_979225	2024843	species	Nitrosopumilus sp.	3	3	1	0.860	unknown;Thaumarchaeota;Nitrosopumilaceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;o_Nitrosopumilales;f_Nitrosopumilaceae;g_Nitrosopumilus;-_unclassified Nitrosopumilus;s_Nitrosopumilus sp.
k141_979523	2169593	species	Nitrososphaeraceae archaeon	3	3	1	0.920	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_1385221	2157	superkingdom	Archaea	9	8	6	0.720	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_2387188	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_791258	2157	superkingdom	Archaea	17	13	8	0.620	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_3130998	651137	phylum	Thaumarchaeota	3	3	3	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_3131001	651137	phylum	Thaumarchaeota	5	5	4	0.800	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1386278	1783275	clade	TACK group	2	2	2	1.000	unknown;unknown;unknown	-_cellular organisms;d_Archaea;-_TACK group
k141_2979480	1	no rank	root	4	3	3	1.000	unknown;unknown;unknown	-_root
k141_3132121	2026768	species	Nitrosopumilales archaeon	2	2	1	0.500	unknown;Thaumarchaeota;unknown	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;o_Nitrosopumilales;-_unclassified Nitrosopumilales;s_Nitrosopumilales archaeon
k141_1073078	2157	superkingdom	Archaea	9	9	5	0.620	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_2075668	2169593	species	Nitrososphaeraceae archaeon	5	4	3	0.670	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_2863790	651137	phylum	Thaumarchaeota	1	1	1	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2476536	1826864	genus	Candidatus Nitrosocosmicus	2	2	1	0.500	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;g_Candidatus Nitrosocosmicus
k141_2076666	651137	phylum	Thaumarchaeota	6	5	4	0.800	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2275177	651137	phylum	Thaumarchaeota	4	4	3	0.750	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_485347	2169593	species	Nitrososphaeraceae archaeon	2	2	2	1.000	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_1677737	1869227	species	bacterium	4	4	1	0.830	unknown;unknown;unknown	-_cellular organisms;d_Bacteria;-_unclassified Bacteria;s_bacterium
k141_486033	1	no rank	root	3	2	2	1.000	unknown;unknown;unknown	-_root
k141_2673938	651137	phylum	Thaumarchaeota	7	7	5	0.710	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_3126828	651137	phylum	Thaumarchaeota	1	1	1	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_786101	2169593	species	Nitrososphaeraceae archaeon	2	2	2	1.000	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_786252	2169593	species	Nitrososphaeraceae archaeon	18	17	11	0.580	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_2188563	651137	phylum	Thaumarchaeota	3	3	3	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1788142	651137	phylum	Thaumarchaeota	9	9	6	0.520	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2973420	651137	phylum	Thaumarchaeota	3	3	3	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2382693	2157	superkingdom	Archaea	6	5	4	0.750	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_2382702	1783275	clade	TACK group	5	4	3	0.750	unknown;unknown;unknown	-_cellular organisms;d_Archaea;-_TACK group
k141_1577455	1033997	family	Nitrososphaeraceae	3	3	2	0.670	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae
k141_976965	2157	superkingdom	Archaea	9	9	6	0.740	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_3052665	651137	phylum	Thaumarchaeota	5	5	4	0.760	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2869264	2169593	species	Nitrososphaeraceae archaeon	6	6	3	0.590	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_2678267	651137	phylum	Thaumarchaeota	6	6	3	0.500	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1079509	1783275	clade	TACK group	5	4	2	0.660	unknown;unknown;unknown	-_cellular organisms;d_Archaea;-_TACK group
k141_1882728	2026795	species	Thaumarchaeota archaeon	2	2	1	0.500	unknown;Thaumarchaeota;unknown	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;-_unclassified Thaumarchaeota;s_Thaumarchaeota archaeon
k141_490919	2169593	species	Nitrososphaeraceae archaeon	2	2	1	0.500	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_1279310	2026795	species	Thaumarchaeota archaeon	4	4	2	0.510	unknown;Thaumarchaeota;unknown	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;-_unclassified Thaumarchaeota;s_Thaumarchaeota archaeon
k141_3053524	651137	phylum	Thaumarchaeota	11	9	7	0.780	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1079725	651137	phylum	Thaumarchaeota	13	12	10	0.870	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_88347	651137	phylum	Thaumarchaeota	1	1	1	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1502158	651137	phylum	Thaumarchaeota	4	3	3	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1713141	651137	phylum	Thaumarchaeota	4	4	3	0.990	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_909621	2157	superkingdom	Archaea	3	3	2	0.510	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_1107176	651137	phylum	Thaumarchaeota	3	3	2	0.670	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_716138	1	no rank	root	2	1	1	1.000	unknown;unknown;unknown	-_root
k141_1107872	651137	phylum	Thaumarchaeota	9	9	6	0.630	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_522333	651137	phylum	Thaumarchaeota	5	5	4	0.750	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1108063	651137	phylum	Thaumarchaeota	9	8	5	0.710	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_522692	2157	superkingdom	Archaea	6	5	4	0.800	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_1309377	651137	phylum	Thaumarchaeota	2	2	1	0.500	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2792397	651137	phylum	Thaumarchaeota	5	5	4	0.680	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1597091	651137	phylum	Thaumarchaeota	4	4	4	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1796772	2157	superkingdom	Archaea	5	5	2	0.640	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_2792872	651137	phylum	Thaumarchaeota	15	14	8	0.570	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_402258	651137	phylum	Thaumarchaeota	8	8	5	0.660	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1996487	651137	phylum	Thaumarchaeota	7	7	4	0.570	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2196915	651137	phylum	Thaumarchaeota	4	3	2	0.670	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_802006	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
k141_2794244	1783275	clade	TACK group	1	1	1	1.000	unknown;unknown;unknown	-_cellular organisms;d_Archaea;-_TACK group
k141_205327	2157	superkingdom	Archaea	6	6	3	0.600	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_2841672	651137	phylum	Thaumarchaeota	4	4	3	0.680	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_855239	651137	phylum	Thaumarchaeota	6	6	6	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1852470	651137	phylum	Thaumarchaeota	2	1	1	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_259688	651137	phylum	Thaumarchaeota	3	3	2	0.670	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1447226	1783275	clade	TACK group	4	4	4	1.000	unknown;unknown;unknown	-_cellular organisms;d_Archaea;-_TACK group
k141_1653018	651137	phylum	Thaumarchaeota	5	4	2	0.500	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2648271	651137	phylum	Thaumarchaeota	4	4	4	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2842558	651137	phylum	Thaumarchaeota	7	7	7	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1853327	651137	phylum	Thaumarchaeota	3	3	3	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2648670	1	no rank	root	10	10	10	1.000	unknown;unknown;unknown	-_root
k141_2790053	651137	phylum	Thaumarchaeota	5	5	3	0.510	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2192717	2169593	species	Nitrososphaeraceae archaeon	3	3	2	0.670	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_2392254	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_1595091	651137	phylum	Thaumarchaeota	3	3	2	0.670	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1470	651137	phylum	Thaumarchaeota	4	4	3	0.670	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_200914	2157	superkingdom	Archaea	5	5	3	0.600	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_2393030	651137	phylum	Thaumarchaeota	4	4	4	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2393288	2169593	species	Nitrososphaeraceae archaeon	2	2	1	0.500	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_1198772	651137	phylum	Thaumarchaeota	6	5	3	0.600	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1995708	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
k141_834577	651137	phylum	Thaumarchaeota	3	3	2	0.510	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_438537	651137	phylum	Thaumarchaeota	6	6	5	0.830	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_3016527	2157	superkingdom	Archaea	4	3	2	0.670	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_1034281	651137	phylum	Thaumarchaeota	12	12	8	0.690	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2032043	1033997	family	Nitrososphaeraceae	5	5	3	0.600	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae
k141_2825125	1	no rank	root	4	3	3	1.000	unknown;unknown;unknown	-_root
k141_3017243	651137	phylum	Thaumarchaeota	4	4	4	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2825712	651137	phylum	Thaumarchaeota	7	6	4	0.670	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1035656	2157	superkingdom	Archaea	5	5	4	0.800	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_1035770	651137	phylum	Thaumarchaeota	3	2	1	0.500	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1544639	651137	phylum	Thaumarchaeota	4	4	4	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_950864	651137	phylum	Thaumarchaeota	3	3	3	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_757739	651137	phylum	Thaumarchaeota	2	1	1	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_951753	2026768	species	Nitrosopumilales archaeon	3	3	2	0.670	unknown;Thaumarchaeota;unknown	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;o_Nitrosopumilales;-_unclassified Nitrosopumilales;s_Nitrosopumilales archaeon
k141_2942803	2026768	species	Nitrosopumilales archaeon	2	1	1	1.000	unknown;Thaumarchaeota;unknown	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;o_Nitrosopumilales;-_unclassified Nitrosopumilales;s_Nitrosopumilales archaeon
k141_952418	651137	phylum	Thaumarchaeota	1	1	1	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_3105234	651137	phylum	Thaumarchaeota	3	3	2	0.670	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1758926	651137	phylum	Thaumarchaeota	2	2	1	0.500	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1956602	651137	phylum	Thaumarchaeota	3	3	3	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_567095	651137	phylum	Thaumarchaeota	6	6	3	0.500	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
